"cage","sex","replicate","vial","X16","X20","X24","X40","X44","X48","X64","X68","X72","X88","X92","X96","X112","X116","X120","X136","X140","X144","X160","X164","X168","X184","X188","X192","cage.treat","cage.treat2","timepoint"
"6","M",2,"T4-6-n2M",0,0,2,6,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"6","M",3,"T4-6-n3M",0,0,2,4,5,6,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"7","M",1,"T4-7-n1M",0,0,2,5,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"7","M",2,"T4-7-n2M",0,0,2,5,7,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"7","M",3,"T4-7-n3M",1,1,1,4,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"8","M",1,"T4-8-n1M",0,0,2,5,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"8","M",2,"T4-8-n2M",0,0,2,6,7,7,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"8","M",3,"T4-8-n3M",0,0,0,1,3,6,8,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"9","M",1,"T4-9-n1M",0,0,2,4,5,6,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"9","M",2,"T4-9-n2M",0,0,2,4,5,6,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"9","M",3,"T4-9-n3M",0,0,2,4,7,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"10","M",1,"T4-10-n1M",0,0,0,2,3,5,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"10","M",2,"T4-10-n2M",0,0,1,5,7,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"10","M",3,"T4-10-n3M",0,0,1,4,5,6,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"11","M",1,"T4-11-n1M",0,0,1,5,6,6,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"11","M",2,"T4-11-n2M",0,0,0,2,2,5,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"11","M",3,"T4-11-n3M",0,0,0,0,0,3,6,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"12","M",1,"T4-12-n1M",0,0,0,4,5,6,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"12","M",2,"T4-12-n2M",0,0,3,5,7,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"12","M",3,"T4-12-n3M",0,0,3,6,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"A1","M",1,"T5-A1-1M",0,0,0,0,1,1,6,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A1","M",2,"T5-A1-2M",0,0,0,0,2,2,7,7,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A1","M",3,"T5-A1-3M",0,0,0,0,1,1,5,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"C","C","5"
"A2","M",1,"T5-A2-1M",0,0,0,0,2,3,5,6,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A2","M",2,"T5-A2-2M",0,0,0,0,2,3,6,6,6,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A2","M",3,"T5-A2-3M",0,0,0,0,2,2,7,7,7,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A3","M",1,"T5-A3-1M",0,0,0,3,7,7,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A3","M",2,"T5-A3-2M",0,0,0,2,5,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A3","M",3,"T5-A3-3M",0,0,0,3,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A4","M",1,"T5-A4-1M",0,0,0,2,5,5,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A4","M",2,"T5-A4-2M",0,0,0,3,5,6,7,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A4","M",3,"T5-A4-3M",0,0,0,4,7,7,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A5","M",1,"T5-A5-1M",0,0,0,3,6,6,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A5","M",2,"T5-A5-2M",0,0,0,2,5,5,5,7,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A5","M",3,"T5-A5-3M",0,0,0,1,1,4,5,6,6,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A6","M",1,"T5-A6-1M",0,0,1,2,5,6,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A6","M",2,"T5-A6-2M",0,0,0,3,7,7,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A6","M",3,"T5-A6-3M",0,0,0,3,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"1","M",1,"T5-1-1M",0,0,0,2,4,4,4,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","5"
"1","M",2,"T5-1-2M",0,1,1,5,8,8,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","5"
"1","M",3,"T5-1-3M",0,0,0,5,8,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","5"
"2","M",1,"T5-2-1M",0,1,1,2,4,4,5,5,6,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","5"
"2","M",2,"T5-2-2M",0,0,1,2,6,6,6,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","5"
"2","M",3,"T5-2-3M",0,0,0,1,5,5,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","5"
"3","M",1,"T5-3-1M",0,0,0,0,2,3,4,6,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","5"
"3","M",2,"T5-3-2M",0,0,0,0,0,0,2,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","5"
"3","M",3,"T5-3-3M",0,0,0,0,2,2,5,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","5"
"4","M",1,"T5-4-1M",0,0,0,0,1,1,6,7,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","5"
"4","M",2,"T5-4-2M",0,0,0,0,0,0,6,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","5"
"4","M",3,"T5-4-3M",0,0,0,0,0,0,3,3,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","5"
"5","M",1,"T5-5-1M",0,1,1,2,3,4,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","5"
"5","M",2,"T5-5-2M",0,0,0,0,2,2,7,7,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","5"
"5","M",3,"T5-5-3M",0,0,0,0,2,2,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","5"
"6","M",1,"T5-6-1M",0,0,0,1,3,4,6,6,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","5"
"6","M",2,"T5-6-2M",0,0,0,3,4,4,4,5,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"MA","AT","5"
"6","M",3,"T5-6-3M",0,1,1,5,6,6,7,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","5"
"7","M",1,"T5-7-1M",0,0,1,4,6,6,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","5"
"7","M",2,"T5-7-2M",0,0,0,2,5,7,7,7,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","5"
"7","M",3,"T5-7-3M",0,0,0,1,3,3,6,6,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","5"
"8","M",1,"T5-8-1M",0,1,1,1,3,5,7,7,7,7,7,8,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","5"
"8","M",2,"T5-8-2M",0,0,0,4,6,7,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","5"
"8","M",3,"T5-8-3M",0,1,1,3,6,7,7,7,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","5"
"9","M",1,"T5-9-1M",0,1,1,1,1,1,6,6,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","5"
"9","M",2,"T5-9-2M",0,1,1,2,2,2,5,5,6,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","5"
"9","M",3,"T5-9-3M",0,0,0,2,3,5,5,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"MA","LB","5"
"10","M",1,"T5-10-1M",0,0,0,4,6,6,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"MA","AT","5"
"10","M",2,"T5-10-2M",0,0,0,3,7,7,7,8,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","5"
"10","M",3,"T5-10-3M",0,1,1,4,5,6,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","5"
"11","M",1,"T5-11-1M",0,0,0,5,8,8,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","5"
"11","M",2,"T5-11-2M",0,0,0,1,2,2,6,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","5"
"11","M",3,"T5-11-3M",0,0,0,1,3,4,7,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","5"
"12","M",1,"T5-12-1M",0,0,0,1,1,1,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","5"
"12","M",2,"T5-12-2M",0,0,0,3,3,4,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","5"
"12","M",3,"T5-12-3M",0,1,1,4,5,7,7,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","5"
