"cluster","median.target","median.matched","pval","comparison","FDR","significant","cluster.dynamics"
"c4.2R.1_5",0.00235589810606061,0.00100189053030303,0.0448326846878697,"4_5",0.0626638660978179,"no","neutral"
"c8.2L.1_5",0.000429306818181818,0.000606757575757566,0.0799393232681222,"4_5",0.108049854527242,"no","neutral"
"c6.X.1_5",0.00253154090909092,-0.000155202954545455,0.113352473469967,"4_5",0.146761623545326,"no","neutral"
"c5.2R.1_5",0.00443348030303032,0.000341678030303036,1.19305089455866e-09,"4_5",5.24090214395411e-09,"yes","positive"
"c6.2R.1_5",0.00337302272727275,0.000805651515151495,0.611383838573525,"4_5",0.658655902648781,"no","neutral"
"c7.2R.1_5",-0.0044114946969697,-0.000552746742424236,0.00333803451052263,"4_5",0.00603791536462182,"yes","negative"
"c8.2R.1_5",0.00403678787878786,0.00132340151515153,0.016180552978356,"4_5",0.0251925065359214,"yes","positive"
"c9.2L.1_5",0.00233350340909091,0.00139124280303031,1.15349251013645e-05,"4_5",3.01871444142092e-05,"yes","positive"
"c9.2R.1_5",0.007495825,0.00106268181818186,4.85759198241612e-10,"4_5",2.29801466860455e-09,"yes","positive"
"c10.2R.1_5",0.00976521590909091,0.00138693939393941,2.69364888637297e-20,"4_5",2.20879208682584e-19,"yes","positive"
"c4.3R.1_5",0.00694898560606061,0.000202988333333338,4.23390456490237e-09,"4_5",1.73590087160997e-08,"yes","positive"
"c10.2L.1_5",0.00121214507575757,0.00135525537878789,0.623242633583803,"4_5",0.660852102851791,"no","neutral"
"c11.2L.1_5",0.00842667424242423,-0.000574663636363583,8.14039527567849e-09,"4_5",3.12896443408892e-08,"yes","positive"
"c12.2L.1_5",0.00122447727272726,0.00155537348484849,0.143020886154541,"4_5",0.181356381412459,"no","neutral"
"c11.2R.1_5",0.00621513371212121,-0.000662454545454522,2.44393375519561e-06,"4_5",7.64027797219296e-06,"yes","positive"
"c4.3L.1_5",0.0021418393939394,0.000638635606060603,2.93455859137296e-05,"4_5",7.21901413477748e-05,"yes","positive"
"c5.3R.1_5",0.00527453037878788,0.000693540151515146,1.8412250491457e-23,"4_5",1.74208216188401e-22,"yes","positive"
"c13.2L.1_5",0.000606932954545454,-0.000838584848484846,0.478234579833907,"4_5",0.525204047496166,"no","neutral"
"c12.2R.1_5",0.000968443939393962,0.000274545454545458,0.0419459017770188,"4_5",0.0599923944020153,"no","neutral"
"c14.2L.1_5",-0.000576356060606076,0.000817606060606102,0.00381025071732847,"4_5",0.00679218606132466,"no","neutral"
"c6.3R.1_5",0.00843248106060603,0.00192536068181818,0.000277829772610406,"4_5",0.00062132840056509,"yes","positive"
"c15.2L.1_5",0.00205062367424243,-3.5905303030284e-05,0.29560668312087,"4_5",0.356466882586931,"no","neutral"
"c7.3R.1_5",0.00642857803030303,0.000749550757575768,4.18232439387758e-08,"4_5",1.48438204757293e-07,"yes","positive"
"c8.3R.1_5",0.00683714803030302,0.000394839015151568,1.6638708862732e-14,"4_5",1.02328059505802e-13,"yes","positive"
"c16.2L.1_5",0.0013876803030303,0.000482553030303021,0.467105160381479,"4_5",0.522308497517472,"no","neutral"
"c7.X.1_5",-0.00114137803030303,0.000813007575757557,0.000642066103338117,"4_5",0.00131623551184314,"yes","negative"
"c9.3R.1_5",0.00586882401515152,0.00171372689393939,2.09478898076935e-10,"4_5",1.03063617853852e-09,"yes","positive"
"c5.3L.1_5",0.00609822727272727,6.20754545454551e-05,4.22385135488231e-08,"4_5",1.48438204757293e-07,"yes","positive"
"c13.2R.1_5",0.00117529999999999,0.00172071515151516,0.311388435465264,"4_5",0.36827670732911,"no","neutral"
"c8.X.1_5",-0.000491916666666668,0.00130871325757578,0.211815738023425,"4_5",0.263165007847286,"no","neutral"
"c14.2R.1_5",0.00831148863636365,0.00232805265151516,1.02671478179618e-05,"4_5",2.74534604697674e-05,"yes","positive"
"c10.3R.1_5",0.00772221583333333,0.00115350303030303,1.68814995138182e-34,"4_5",3.46070740033273e-33,"yes","positive"
"c6.3L.1_5",0.00197842156060606,0.00140953712121212,0.822419833986117,"4_5",0.84298032983577,"no","neutral"
"c17.2L.1_5",0.0021191159090909,0.00191371818181818,0.0327772611114693,"4_5",0.0483412052083382,"yes","positive"
"c9.X.1_5",0.00306546439393939,0.000675804545454545,0.686279982688169,"4_5",0.715359642971566,"no","neutral"
"c11.3R.1_5",0.0110889299242425,0.00102828522727273,9.15497894591324e-13,"4_5",5.11846550157877e-12,"yes","positive"
"c7.3L.1_5",0.00136532575757575,0.000837181060606068,0.0130701297856262,"4_5",0.021435012848427,"yes","positive"
"c18.2L.1_5",0.000510727272727274,0.000513869696969704,0.000175238993854521,"4_5",0.000406686721586907,"no","neutral"
"c15.2R.1_5",0.0192404242424243,0.00306481742424242,1.40072320018792e-14,"4_5",9.06783966437443e-14,"yes","positive"
"c12.3R.1_5",0.00176251893939394,0.00202759090909091,0.76300007372009,"4_5",0.788647135021606,"no","neutral"
"c19.2L.1_5",0.00662993106060606,0.0005921393939394,2.52155638910909e-17,"4_5",1.82442021094364e-16,"yes","positive"
