"cluster","median.target","median.matched","pval","comparison","FDR","significant","cluster.dynamics"
"c22.3R.1_5",0.0075063666666666,0.000325193333333335,6.43175962511828e-21,"2_4",1.8397824043943e-20,"yes","positive"
"c23.3R.1_5",0.00560616666666658,0.000129763333333331,2.39619405615853e-22,"2_4",7.18858216847559e-22,"yes","positive"
"c24.3R.1_5",0.0208312386666667,-0.000649068333333307,7.83434985049645e-39,"2_4",3.21208343870354e-38,"yes","positive"
"c25.3R.1_5",0.0177300566666667,0.000550200000000056,0,"2_4",0,"yes","positive"
"c26.3R.1_5",0.0183609966666667,-0.000480100000000094,3.03068934712216e-34,"2_4",1.09639644028243e-33,"yes","positive"
"c27.3R.1_5",0.00632352133333334,0.000579253333333335,2.92228444839671e-14,"2_4",5.89247519922615e-14,"yes","positive"
"c1.2L.1_5",0.000556126666666667,-0.000108146666666666,0.0655906422186966,"4_5",0.0996006048506134,"no","neutral"
"c1.3R.1_5",0.001934,-0.000556823333333335,0.005678256256502,"4_5",0.0114495986811434,"yes","positive"
"c1.X.1_5",-0.0122754666666666,0.000840689999999998,7.09844080780312e-18,"4_5",6.23648728114131e-17,"yes","negative"
"c1.3L.1_5",-0.01508365675,5.75966666667114e-05,0.00566967446881871,"4_5",0.0114495986811434,"yes","negative"
"c1.2R.1_5",0.00482050000000001,0.000449016666666666,8.94683926632895e-21,"4_5",1.00041929978042e-19,"yes","positive"
"c2.3L.1_5",0.00226599333333333,-0.00183266666666668,0.742279323565126,"4_5",0.822525736923518,"no","neutral"
"c2.3R.1_5",0.00601671666666667,0.000695699999999994,9.41736375126724e-27,"4_5",1.44791967675734e-25,"yes","positive"
"c3.3L.1_5",-0.000738316666666669,0.000399733333333208,6.5833914392655e-09,"4_5",3.23902858811863e-08,"yes","negative"
"c2.X.1_5",-0.00460752,0.001206555,0.000176248748627627,"4_5",0.000516157049552336,"yes","negative"
"c2.2L.1_5",0.0117013266666667,0.000261833333333322,0.000209923866833248,"4_5",0.000573791902677545,"yes","positive"
"c3.X.1_5",0.00112973333333334,0.00157118000000001,0.622785339265353,"4_5",0.709283303052208,"no","neutral"
"c3.2L.1_5",0.00255917666666666,-0.000557006666666665,0.24695861686007,"4_5",0.326622686814931,"no","neutral"
"c4.2L.1_5",0.00507442,0.000455473333333338,2.21428085020395e-08,"4_5",1.00872794287069e-07,"yes","positive"
"c5.2L.1_5",0.00454955166666667,0.001195515,1.01083247853845e-15,"4_5",8.28882632401529e-15,"yes","positive"
"c4.X.1_5",0.00305590000000003,0.00119129166666667,0.000372673054263902,"4_5",0.000975293312222552,"yes","positive"
"c2.2R.1_5",0.00185080000000004,0.000648133333333332,0.258419263529168,"4_5",0.338144355469018,"no","neutral"
"c6.2L.1_5",-0.00384076333333333,0.00295728333333333,0.00133536407847372,"4_5",0.00322058395396603,"yes","negative"
"c5.X.1_5",0.00701783166666666,0.00130583333333334,0.00143698256666121,"4_5",0.00339901645575632,"yes","positive"
"c7.2L.1_5",0.0152554266666667,0.00144890333333333,0.000155620093263306,"4_5",0.000478531786784666,"yes","positive"
"c3.2R.1_5",-0.00138085999999997,0.00018178666666667,0.274085931777779,"4_5",0.35486915377544,"no","neutral"
"c3.3R.1_5",0.00247283333333331,0.000223699999999993,1.81546517466771e-14,"4_5",1.17527482360068e-13,"yes","positive"
"c4.2R.1_5",-0.00434520000000005,-3.41500000000315e-06,0.0220142664013734,"4_5",0.0381373910897032,"yes","negative"
"c8.2L.1_5",-0.00193693333333333,0.000669023333333338,0.0871214636551774,"4_5",0.130682195482766,"no","neutral"
"c6.X.1_5",0.00135933,0.000916068333333332,0.296354161321813,"4_5",0.375789297346217,"no","neutral"
"c5.2R.1_5",0.0104108833333333,0.00145573166666667,2.12985788069923e-20,"4_5",2.18310432771671e-19,"yes","positive"
"c6.2R.1_5",0.0159474999999999,0.00439716666666667,0.000185657861702767,"4_5",0.000531067836963729,"yes","positive"
"c7.2R.1_5",0.00714371666666665,0.000846366666666654,0.00244071926765355,"4_5",0.00537547309507138,"yes","positive"
"c8.2R.1_5",0.0204875,0.000473200000000007,2.17778877916492e-23,"4_5",2.67868019837285e-22,"yes","positive"
"c9.2L.1_5",0.00724776666666666,0.00109926666666671,1.3873147727324e-13,"4_5",8.12570081171834e-13,"yes","positive"
"c9.2R.1_5",0.0223796666666667,-0.00060003333333332,2.78908206701707e-27,"4_5",4.90081563204428e-26,"yes","positive"
"c10.2R.1_5",0.01414776,0.00141748666666666,2.2275306770248e-24,"4_5",3.04429192526723e-23,"yes","positive"
"c4.3R.1_5",0.00070183333333329,-2.65566666666633e-05,0.61062146747984,"4_5",0.70192935046748,"no","neutral"
"c10.2L.1_5",0.00366422000000001,-0.000100748999999996,0.00105809286266643,"4_5",0.00260290844215942,"yes","positive"
"c11.2L.1_5",0.0122675666666667,0.000379500000000005,1.28526245322097e-09,"4_5",6.58697007275747e-09,"yes","positive"
"c12.2L.1_5",0.0044072,1.77000000000094e-05,0.0146061131211381,"4_5",0.0264716704716051,"yes","positive"
"c11.2R.1_5",0.00545903333333332,-0.000589466666666677,0.18557570006793,"4_5",0.253620123426171,"no","neutral"
"c4.3L.1_5",0.00311320333333333,-5.80833333333336e-05,4.72015088286013e-05,"4_5",0.000161271821831054,"yes","positive"
"c5.3R.1_5",0.00344627499999999,0.000160313333333335,4.57844829822006e-15,"4_5",3.31264200400628e-14,"yes","positive"
"c13.2L.1_5",0.00175236166666669,-0.000494395666666669,0.933528076728838,"4_5",0.941179946210222,"no","neutral"
"c12.2R.1_5",-0.00181371333333334,-0.00106802999999999,0.101380358298574,"4_5",0.148449810365769,"no","neutral"
"c14.2L.1_5",-0.00192683333333332,0.000858966666666683,2.10007390165185e-06,"4_5",8.33255128719928e-06,"yes","negative"
"c6.3R.1_5",0.00492798333333334,0.000954830499999998,0.808896070162146,"4_5",0.850377919914051,"no","neutral"
"c15.2L.1_5",0.00741385166666664,0.00296246666666669,0.310891845416319,"4_5",0.389149041564961,"no","neutral"
"c7.3R.1_5",0.00389986666666667,0.000714736666666667,0.000776906737405143,"4_5",0.0019501944632823,"yes","positive"
"c8.3R.1_5",0.00270434833333333,-0.000100964999999996,0.00294324321302848,"4_5",0.00635120903864041,"yes","positive"
"c16.2L.1_5",0.00293730333333333,6.35400000000078e-05,1.63479115362856e-06,"4_5",6.7026437298771e-06,"yes","positive"
"c7.X.1_5",0.000135219999999998,0.000877500000000003,0.725247918597459,"4_5",0.817193242037569,"no","neutral"
"c9.3R.1_5",0.00707241666666666,0.001054535,0.000193449877924692,"4_5",0.000540780340562207,"yes","positive"
"c5.3L.1_5",0.002976552,-0.000173366666666668,0.829151263637024,"4_5",0.864284791757237,"no","neutral"
"c13.2R.1_5",0.00101619999999997,0.00161633333333344,0.48216761125543,"4_5",0.581437413572724,"no","neutral"
"c8.X.1_5",0.000651086666666665,-0.000995860000000006,0.760218198976429,"4_5",0.830989354103045,"no","neutral"
"c14.2R.1_5",0.00869088166666667,0.00112426166666667,0.000400896576738999,"4_5",0.00102729747789368,"yes","positive"
"c10.3R.1_5",0.011614848,0.000552339999999998,1.68168612017479e-14,"4_5",1.14915218211944e-13,"yes","positive"
"c6.3L.1_5",-0.000920948,0.00167896833333333,0.583725242391443,"4_5",0.677341554850448,"no","neutral"
"c17.2L.1_5",0.00209815,0.000253956666666666,0.766612899365412,"4_5",0.830989354103045,"no","neutral"
"c9.X.1_5",0.00577518566666667,3.55400000000006e-05,0.78571482618986,"4_5",0.837747751071159,"no","neutral"
"c11.3R.1_5",0.0121881466666667,3.22416666666548e-05,1.5174975306323e-11,"4_5",8.11531288120752e-11,"yes","positive"
"c7.3L.1_5",-0.000661549999999997,4.16766666666672e-05,0.00707083509846982,"4_5",0.014027624469545,"yes","negative"
"c18.2L.1_5",0.00377673333333328,0.000766393333333323,2.3831701975035e-18,"4_5",2.25484564840716e-17,"yes","positive"
"c15.2R.1_5",0.011879,0.00092346666666665,1.11699832757436e-05,"4_5",3.94294332382535e-05,"yes","positive"
"c12.3R.1_5",-0.00411737333333333,0.00274319999999995,0.0397754148634971,"4_5",0.0661131895704073,"no","neutral"
